run_name,offered_rate_req_per_sec,actual_send_rate_req_per_sec,goodput_result_per_sec,wire_goodput_gbps,payload_goodput_gbps,measurement_valid,drop_count,drop_ratio,mismatch_count,rate_error_ratio,sender_capture_count,receiver_capture_count,engine_emit_count,receiver_span_seconds,send_span_seconds,pipeline_verdict,correctness_verdict
rate_scan_round1_10pps_r01,10.0,9.980083429870504,9.983327643496107,8.214852460933941e-06,4.381254645831434e-06,true,0,0.0,0,0.001991657012949588,8,8,8,0.7011690139770508,0.7013969421386719,healthy,healthy
rate_scan_round1_25pps_r01,25.0,24.98795970283522,25.00901035961369,2.0578842810196408e-05,1.0975382832104751e-05,true,0,0.0,0,0.00048161188659122443,8,8,8,0.27989912033081055,0.280134916305542,healthy,healthy
rate_scan_round1_50pps_r01,50.0,49.9660960413614,51.40672416630773,4.230039017113322e-05,2.2560208091271052e-05,true,0,0.0,0,0.0006780791727719304,8,8,8,0.1361689567565918,0.14009499549865723,healthy,healthy
rate_scan_round1_100pps_r01,100.0,99.77614354652349,100.04302921884317,8.232112118579095e-05,4.390459796575517e-05,true,0,0.0,0,0.002238564534765146,8,8,8,0.06996989250183105,0.07015705108642578,healthy,healthy
rate_scan_round1_200pps_r01,200.0,199.71517583837834,201.47902527397872,0.0001657884550825882,8.842050937738037e-05,true,0,0.0,0,0.0014241208081082846,8,8,8,0.03474307060241699,0.0350499153137207,healthy,healthy
rate_scan_round1_400pps_r01,400.0,398.33568046454207,457.30861966916916,0.00037629966418491635,0.00020069315423195538,true,0,0.0,0,0.004160798838644837,8,8,8,0.015306949615478516,0.017573118209838867,healthy,healthy
rate_scan_round1_800pps_r01,800.0,795.171789941229,826.0685386303528,0.0006797363975015474,0.00036252607866749196,true,0,0.0,0,0.00603526257346374,8,8,8,0.008473873138427734,0.008803129196166992,healthy,healthy
rate_scan_round1_extend_1000pps_r01,1000.0,984.9935340667712,986.1811707971159,0.0007104056457968219,0.00037888301109163835,true,0,0.0,0,0.01500646593322881,2000,2000,2000,2.027010917663574,2.0294549465179443,healthy,healthy
rate_scan_round1_extend_1200pps_r01,1200.0,1172.4612681660888,1172.5834170826163,0.0008446119819586332,0.00045045972371127104,true,0,0.0,0,0.022948943194926037,2400,2400,2400,2.045909881591797,2.0461230278015137,healthy,healthy
rate_scan_round1_extend_1600pps_r01,1600.0,1581.903634778875,1582.0476282276443,0.0011394303643127515,0.0006076961943001342,true,0,0.0,0,0.011310228263203185,3200,3200,3200,2.0220630168914795,2.022247076034546,healthy,healthy
rate_scan_round1_extend_2000pps_r01,2000.0,1960.5661375494392,1962.1571576705237,0.0014131064301303098,0.000753656762736165,true,0,0.0,0,0.019716931225280405,4000,4000,4000,2.0380630493164062,2.039716958999634,healthy,healthy
rate_scan_round1_extend_2400pps_r01,2400.0,555.3015603232736,555.1282476027804,0.0003997756769600473,0.0002132136943786919,false,3,0.000625,3,0.7686243498653027,4800,4797,4800,8.639445066452026,8.642151117324829,overload_or_loss,mismatch
